Date,Timestamp,Epoch,Moteid,temperature,Humidity,Light,Voltage,window_id
2/28/2004,12:59:16 AM,3,1,19.9884,37.0933,45.08,2.69964,node-1-win-0
2/28/2004,1:03:16 AM,11,1,19.3024,38.4629,45.08,2.68742,node-1-win-0
2/28/2004,1:06:16 AM,17,1,19.1652,38.8039,45.08,2.68742,node-1-win-0
2/28/2004,1:06:47 AM,18,1,19.175,38.8379,45.08,2.69964,node-1-win-0
2/28/2004,1:08:46 AM,22,1,19.1456,38.9401,45.08,2.68742,node-1-win-0
2/28/2004,1:09:22 AM,23,1,19.1652,38.872,45.08,2.68742,node-1-win-0
2/28/2004,1:09:46 AM,24,1,19.1652,38.8039,45.08,2.68742,node-1-win-0
2/28/2004,1:10:17 AM,25,1,19.1456,38.8379,45.08,2.69964,node-1-win-0
2/28/2004,1:10:46 AM,26,1,19.1456,38.872,45.08,2.68742,node-1-win-0
2/28/2004,1:11:47 AM,28,1,19.1456,38.9401,45.08,2.69964,node-1-win-0
2/28/2004,1:12:46 AM,30,1,19.1358,38.9061,45.08,2.68742,node-1-win-0
2/28/2004,1:14:17 AM,33,1,19.1162,38.8039,45.08,2.69964,node-1-win-0
2/28/2004,1:14:47 AM,34,1,19.1162,38.872,45.08,2.69964,node-1-win-0
2/28/2004,1:15:17 AM,35,1,19.1064,39.0082,45.08,2.69964,node-1-win-0
2/28/2004,1:16:16 AM,37,1,19.1064,38.872,43.24,2.69964,node-1-win-0
2/28/2004,1:16:47 AM,38,1,19.0966,38.8039,43.24,2.69964,node-1-win-0
2/28/2004,1:17:46 AM,40,1,19.0966,38.7357,43.24,2.69964,node-1-win-0
2/28/2004,1:18:16 AM,41,1,19.0868,38.8039,43.24,2.69964,node-1-win-0
2/28/2004,1:20:16 AM,45,1,19.0672,38.9061,43.24,2.68742,node-1-win-0
2/28/2004,1:20:46 AM,46,1,19.0672,38.872,43.24,2.69964,node-1-win-0
2/28/2004,1:21:17 AM,47,1,19.0672,38.9061,43.24,2.69964,node-1-win-0
2/28/2004,1:22:16 AM,49,1,19.0868,39.0082,43.24,2.69964,node-1-win-0
2/28/2004,1:23:17 AM,51,1,19.0182,38.7357,43.24,2.68742,node-1-win-0
2/28/2004,1:23:47 AM,52,1,19.0182,38.7357,43.24,2.69964,node-1-win-0
2/28/2004,1:24:16 AM,53,1,19.0084,38.8039,43.24,2.69964,node-1-win-0
2/28/2004,1:26:17 AM,57,1,19.0084,38.9401,43.24,2.68742,node-1-win-0
2/28/2004,1:26:46 AM,58,1,19.0084,38.9401,43.24,2.69964,node-1-win-0
2/28/2004,1:28:46 AM,62,1,18.9986,38.9742,43.24,2.68742,node-1-win-0
2/28/2004,1:29:46 AM,64,1,19.0084,38.9742,43.24,2.69964,node-1-win-0
2/28/2004,1:30:46 AM,66,1,18.9888,39.0422,43.24,2.68742,node-1-win-0
2/28/2004,1:32:17 AM,69,1,18.9692,38.9401,43.24,2.69964,node-1-win-0
2/28/2004,1:32:46 AM,70,1,18.979,39.0763,43.24,2.69964,node-1-win-0
2/28/2004,1:33:46 AM,72,1,18.979,38.9742,43.24,2.68742,node-1-win-0
2/28/2004,1:34:46 AM,74,1,18.9692,38.9401,43.24,2.68742,node-1-win-0
2/28/2004,1:35:16 AM,75,1,18.9888,38.8039,43.24,2.69964,node-1-win-0
2/28/2004,1:36:17 AM,77,1,18.979,38.872,43.24,2.68742,node-1-win-0
2/28/2004,1:36:47 AM,78,1,18.9888,38.9061,43.24,2.69964,node-1-win-0
2/28/2004,1:37:17 AM,79,1,18.9692,38.8039,43.24,2.69964,node-1-win-0
2/28/2004,1:39:46 AM,84,1,18.9594,38.8039,43.24,2.68742,node-1-win-0
2/28/2004,1:42:17 AM,89,1,18.9594,38.8379,43.24,2.68742,node-1-win-0
2/28/2004,1:42:46 AM,90,1,18.9692,38.8039,43.24,2.69964,node-1-win-0
2/28/2004,1:44:16 AM,93,1,18.9398,38.7698,43.24,2.68742,node-1-win-0
2/28/2004,1:45:47 AM,96,1,18.93,38.8039,43.24,2.69964,node-1-win-0
2/28/2004,1:46:46 AM,98,1,18.9202,38.872,43.24,2.68742,node-1-win-0
2/28/2004,1:48:46 AM,102,1,18.9104,39.0082,43.24,2.69964,node-1-win-0
2/28/2004,1:49:46 AM,104,1,18.9006,38.9061,43.24,2.69964,node-1-win-0
2/28/2004,1:50:16 AM,105,1,18.9006,39.0082,43.24,2.69964,node-1-win-0
2/28/2004,1:50:47 AM,106,1,18.9104,39.0082,43.24,2.68742,node-1-win-0
2/28/2004,1:51:16 AM,107,1,18.9006,39.0082,43.24,2.69964,node-1-win-0
2/28/2004,1:52:17 AM,109,1,18.8908,39.0763,43.24,2.68742,node-1-win-0
2/28/2004,1:54:46 AM,114,1,18.9006,39.0082,43.24,2.69964,node-1-win-0
2/28/2004,1:56:16 AM,117,1,18.9104,39.0082,43.24,2.69964,node-1-win-0
2/28/2004,1:57:16 AM,119,1,18.8908,38.9401,43.24,2.68742,node-1-win-0
2/28/2004,2:01:46 AM,128,1,18.8712,38.9742,43.24,2.69964,node-1-win-0
2/28/2004,2:10:16 AM,145,1,18.8222,39.0082,43.24,2.68742,node-1-win-0
2/28/2004,2:11:17 AM,147,1,18.8124,39.0082,43.24,2.69964,node-1-win-0
2/28/2004,2:12:46 AM,150,1,18.8124,39.0082,43.24,2.68742,node-1-win-0
2/28/2004,2:13:17 AM,151,1,18.8026,39.0082,43.24,2.68742,node-1-win-0
2/28/2004,2:14:47 AM,154,1,18.7928,38.9401,43.24,2.68742,node-1-win-0
2/28/2004,2:16:47 AM,158,1,18.7928,38.9401,43.24,2.68742,node-1-win-0
2/28/2004,2:18:46 AM,162,1,18.7732,39.0082,43.24,2.68742,node-1-win-0
2/28/2004,2:19:16 AM,163,1,18.7732,39.0082,43.24,2.68742,node-1-win-0
2/28/2004,2:19:47 AM,164,1,18.7928,38.872,43.24,2.69964,node-1-win-0
2/28/2004,2:20:47 AM,166,1,18.7732,38.9061,43.24,2.69964,node-1-win-0
2/28/2004,2:21:17 AM,167,1,18.7536,38.8379,43.24,2.68742,node-1-win-0
2/28/2004,2:21:46 AM,168,1,18.7732,38.8039,43.24,2.69964,node-1-win-0
2/28/2004,2:23:17 AM,171,1,18.7634,38.872,43.24,2.68742,node-1-win-0
2/28/2004,2:23:46 AM,172,1,18.7536,38.8039,43.24,2.69964,node-1-win-0
2/28/2004,2:24:46 AM,174,1,18.7242,38.8039,43.24,2.68742,node-1-win-0
2/28/2004,2:25:47 AM,176,1,18.734,38.8379,43.24,2.69964,node-1-win-0
2/28/2004,2:26:17 AM,177,1,18.7242,38.9401,43.24,2.69964,node-1-win-0
2/28/2004,2:30:16 AM,185,1,18.734,38.872,43.24,2.69964,node-1-win-0
2/28/2004,2:31:16 AM,187,1,18.7242,38.9401,43.24,2.68742,node-1-win-0
2/28/2004,2:31:46 AM,188,1,18.7144,38.9401,43.24,2.68742,node-1-win-0
2/28/2004,2:34:47 AM,194,1,18.6948,38.9401,43.24,2.68742,node-1-win-0
2/28/2004,2:35:47 AM,196,1,18.6948,38.9401,43.24,2.68742,node-1-win-0
2/28/2004,2:36:17 AM,197,1,18.685,38.872,43.24,2.69964,node-1-win-0
2/28/2004,2:37:47 AM,200,1,18.6654,38.872,43.24,2.68742,node-1-win-0
2/28/2004,2:40:17 AM,205,1,18.6556,38.872,43.24,2.68742,node-1-win-0
2/28/2004,2:40:46 AM,206,1,18.6458,38.872,43.24,2.68742,node-1-win-0
2/28/2004,2:41:17 AM,207,1,18.636,38.872,43.24,2.69964,node-1-win-0
2/28/2004,2:42:46 AM,210,1,18.636,38.8379,43.24,2.68742,node-1-win-0
2/28/2004,2:43:47 AM,212,1,18.636,38.872,43.24,2.68742,node-1-win-0
2/28/2004,2:46:46 AM,218,1,18.636,38.8039,43.24,2.68742,node-1-win-0
2/28/2004,2:47:46 AM,220,1,18.6164,38.872,43.24,2.69964,node-1-win-0
2/28/2004,2:50:16 AM,225,1,18.6066,38.9061,43.24,2.68742,node-1-win-0
2/28/2004,3:02:17 AM,249,1,18.5478,38.9401,43.24,2.67532,node-1-win-0
2/28/2004,3:05:47 AM,256,1,18.5184,38.9401,43.24,2.68742,node-1-win-0
2/28/2004,3:07:46 AM,260,1,18.5086,39.0082,43.24,2.68742,node-1-win-0
2/28/2004,3:08:16 AM,261,1,18.4988,39.0763,43.24,2.68742,node-1-win-0
2/28/2004,3:08:47 AM,262,1,18.4988,39.0082,43.24,2.69964,node-1-win-0
2/28/2004,3:10:17 AM,265,1,18.4988,39.0422,43.24,2.68742,node-1-win-0
2/28/2004,3:10:46 AM,266,1,18.5086,39.0422,43.24,2.68742,node-1-win-0
